,,,,,,,,,,,,,,,,
,,S39 기록표(260529),,,,,,made by 떼칭방🌿,,,,,,,,
,,,,,,,,,,,,,,,,
,난이도,맵 이름,강주력,주력,1군,2군,3군,4군,라이트,,,,,,,
,루키,빌리지 고가의 질주,1.29.99,1.30.99,1.31.99,1.32.99,1.33.99,1.34.99,1.37.49,,,,,,,
,,빌리지 남산,1.24.99,1.25.99,1.26.99,1.27.99,1.29.49,1.30.99,1.33.99,,,,,,,
,,비치 해변 드라이브,1.40.99,1.41.99,1.42.99,1.43.99,1.45.49,1.46.99,1.49.99,,,,,,,
,,WKC 싱가폴 서킷,1.49.49,1.50.49,1.51.99,1.52.99,1.53.99,1.54.99,1.57.99,,,,,,,
,,차이나 라사,1.35.99,1.36.99,1.38.49,1.39.99,1.40.99,1.41.99,1.44.99,,,,,,,
,,차이나 용의 운하,1.51.99,1.52.99,1.53.99,1.54.99,1.56.99,1.58.99,2.02.49,,,,,,,
,,쥐라기 공룡 무덤,1.31.99,1.32.99,1.34.49,1.35.99,1.37.49,1.38.99,1.42.49,,,,,,,
,L3,WKC 코리아 서킷,1.37.99,1.38.99,1.39.99,1.40.99,1.41.99,1.42.99,1.45.49,,,,,,,
,,월드 두바이 다운타운,1.33.49,1.34.49,1.35.49,1.36.99,1.37.99,1.39.99,1.43.49,,,,,,,
,,도검 야외 수련관,1.22.49,1.23.49,1.24.49,1.25.49,1.26.49,1.27.49,1.29.99,,,,,,,
,,쥐라기 공룡 결투장,1.39.99,1.41.49,1.42.99,1.44.49,1.45.99,1.47.49,1.51.49,,,,,,,
,,문힐시티 폭우속의 질주,1.21.49,1.22.49,1.23.49,1.24.99,1.26.49,1.27.99,1.31.49,,,,,,,
,,메카닉 잊혀진 도시의 중심부,1.41.99,1.43.49,1.44.99,1.46.49,1.47.99,1.49.49,1.53.49,,,,,,,
,,빌리지 운명의 다리,1.49.99,1.51.49,1.52.99,1.54.49,1.56.49,1.58.49,2.02.99,,,,,,,
,,도검 용의 길,0.54.99,0.55.99,0.56.99,0.57.99,0.58.99,1.00.99,1.03.49,,,,,,,
,,브로디 비밀의 연구소,1.52.99,1.53.99,1.55.49,1.56.99,1.58.49,1.59.99,2.03.49,,,,,,,
,,노르테유 전투비행장,1.38.99,1.40.49,1.41.99,1.43.49,1.44.99,1.46.49,1.50.49,,,,,,,
,,빌리지 익스트림 경기장,1.29.49,1.30.99,1.32.49,1.33.99,1.35.49,1.37.49,1.41.49,,,,,,,
,,월드 파리 에펠탑 다이브,1.48.99,1.50.49,1.52.49,1.53.99,1.55.49,1.57.49,2.01.99,,,,,,,
